First Name,Full Name,Title,Email,Company,Domain,LinkedIn,Agency,Contract,Award Amount ($),NAICS,Award Date,First Line (Personalized),Signal
DRY,DRY RUN,Business Development Director,dry@run.com,"STANDARD-BLAZAR, LLC",,,National Aeronautics and Space Administration,CCS-FY25-JSC HITACHI,87947.38,IT Services,2026-10-01,"Saw STANDARD-BLAZAR, LLC recently won a it services contract with National Aeronautics and Space Administration — figured BidSmith might be relevant as you scale your proposal operations.",Won IT Services contract with National Aeronautics and Space Administration
DRY,DRY RUN,Business Development Director,dry@run.com,"ADVANCED COMPUTER CONCEPTS, INC.",,,Department of Justice,GRAFANA LICENSES,70239.14,IT Services,2026-09-30,"Saw ADVANCED COMPUTER CONCEPTS, INC. recently won a it services contract with Department of Justice — figured BidSmith might be relevant as you scale your proposal operations.",Won IT Services contract with Department of Justice
DRY,DRY RUN,Business Development Director,dry@run.com,R.S. MEANS COMPANY LLC,,,Department of Justice,FY25 RS MEANS SUBSCRIPTION - FY26,275340,IT Services,2026-09-30,Saw R.S. MEANS COMPANY LLC recently won a it services contract with Department of Justice — figured BidSmith might be relevant as you scale your proposal operations.,Won IT Services contract with Department of Justice
DRY,DRY RUN,Business Development Director,dry@run.com,ALLIANCE MEDICAL PHYSICS LLC,,,Department of Veterans Affairs,EQUIPMENT SURVEYS AND RADIATION SAFETY SERVICES,86630,IT Services,2026-08-15,Saw ALLIANCE MEDICAL PHYSICS LLC recently won a it services contract with Department of Veterans Affairs — figured BidSmith might be relevant as you scale your proposal operations.,Won IT Services contract with Department of Veterans Affairs
DRY,DRY RUN,Business Development Director,dry@run.com,"ANEON BRILLIENT, LLC",,,Department of Health and Human Services,"DIRECT 8(A) AWARD, STAND-ALONE, LABOR-HOUR (LH) TYPE CONTRACT FOR FOOD AND DRUG ADMINISTRATION FOR ONCOLOGY CENTER OF EXCELLENCE BENEFITS RISK PROFESSIONAL SERVICES.",1898235.96,IT Services,2026-08-12,"Saw ANEON BRILLIENT, LLC recently won a it services contract with Department of Health and Human Services — figured BidSmith might be relevant as you scale your proposal operations.",Won IT Services contract with Department of Health and Human Services
DRY,DRY RUN,Business Development Director,dry@run.com,ALVAREZ LLC,,,Department of Veterans Affairs,MEDSTATION - 578,588177.2,IT Services,2026-08-01,Saw ALVAREZ LLC recently won a it services contract with Department of Veterans Affairs — figured BidSmith might be relevant as you scale your proposal operations.,Won IT Services contract with Department of Veterans Affairs
DRY,DRY RUN,Business Development Director,dry@run.com,"PICIS CLINICAL SOLUTIONS, INC.",,,Department of Veterans Affairs,CLINICAL INFORMATION SYSTEM (CIS)/ANESTHESIA RECORD KEEPING (ARK) ANALYTICS SOLUTION (VISN 21),113329.9,IT Services,2026-07-15,"Saw PICIS CLINICAL SOLUTIONS, INC. recently won a it services contract with Department of Veterans Affairs — figured BidSmith might be relevant as you scale your proposal operations.",Won IT Services contract with Department of Veterans Affairs
DRY,DRY RUN,Business Development Director,dry@run.com,"CTG FEDERAL, LLC",,,National Aeronautics and Space Administration,NLYTE PLATFORM BUNDLE FOR DATA CENTER OPTIMIZATION,336090.42,IT Services,2026-07-01,"Saw CTG FEDERAL, LLC recently won a it services contract with National Aeronautics and Space Administration — figured BidSmith might be relevant as you scale your proposal operations.",Won IT Services contract with National Aeronautics and Space Administration
DRY,DRY RUN,Business Development Director,dry@run.com,"CODESECURE, INC.",,,National Aeronautics and Space Administration,TO RENEW CODE SONAR/ETD,51765,IT Services,2026-06-29,"Saw CODESECURE, INC. recently won a it services contract with National Aeronautics and Space Administration — figured BidSmith might be relevant as you scale your proposal operations.",Won IT Services contract with National Aeronautics and Space Administration
DRY,DRY RUN,Business Development Director,dry@run.com,ACCESSAGILITY LLC,,,National Aeronautics and Space Administration,FY26 NETBRAIN RENEWAL,220707.47,IT Services,2026-06-23,Saw ACCESSAGILITY LLC recently won a it services contract with National Aeronautics and Space Administration — figured BidSmith might be relevant as you scale your proposal operations.,Won IT Services contract with National Aeronautics and Space Administration
